,date_pt,hour_pt,time_pt,var,value,site,vartype
93,2013-04-22,21,2013-04-21 21:00:00,GPM,0.16666666666666666,stream,Flow (GPM)
94,2013-04-22,22,2013-04-21 22:00:00,GPM,0.16666666666666666,stream,Flow (GPM)
95,2013-04-22,23,2013-04-21 23:00:00,GPM,0.0,stream,Flow (GPM)
96,2013-04-23,0,2013-04-23 00:00:00,GPM,0.0,stream,Flow (GPM)
97,2013-04-23,1,2013-04-23 01:00:00,GPM,0.0,stream,Flow (GPM)
98,2013-04-23,2,2013-04-23 02:00:00,GPM,0.0,stream,Flow (GPM)
99,2013-04-23,3,2013-04-23 03:00:00,GPM,0.0,stream,Flow (GPM)
100,2013-04-23,4,2013-04-23 04:00:00,GPM,0.0,stream,Flow (GPM)
101,2013-04-23,5,2013-04-23 05:00:00,GPM,0.16666666666666666,stream,Flow (GPM)
102,2013-04-23,6,2013-04-23 06:00:00,GPM,0.0,stream,Flow (GPM)
103,2013-04-23,7,2013-04-23 07:00:00,GPM,0.5,stream,Flow (GPM)
104,2013-04-23,8,2013-04-23 08:00:00,GPM,0.16666666666666666,stream,Flow (GPM)
105,2013-04-23,9,2013-04-23 09:00:00,GPM,0.0,stream,Flow (GPM)
106,2013-04-23,10,2013-04-23 10:00:00,GPM,0.0,stream,Flow (GPM)
107,2013-04-23,11,2013-04-23 11:00:00,GPM,0.0,stream,Flow (GPM)
108,2013-04-23,12,2013-04-23 12:00:00,GPM,0.0,stream,Flow (GPM)
109,2013-04-23,13,2013-04-23 13:00:00,GPM,0.16666666666666666,stream,Flow (GPM)
110,2013-04-23,14,2013-04-23 14:00:00,GPM,0.0,stream,Flow (GPM)
111,2013-04-23,15,2013-04-23 15:00:00,GPM,0.16666666666666666,stream,Flow (GPM)
112,2013-04-23,16,2013-04-23 16:00:00,GPM,0.16666666666666666,stream,Flow (GPM)
113,2013-04-23,17,2013-04-22 17:00:00,GPM,0.16666666666666666,stream,Flow (GPM)
114,2013-04-23,18,2013-04-22 18:00:00,GPM,0.0,stream,Flow (GPM)
115,2013-04-23,19,2013-04-22 19:00:00,GPM,0.5,stream,Flow (GPM)
116,2013-04-23,20,2013-04-22 20:00:00,GPM,0.6666666666666666,stream,Flow (GPM)
117,2013-04-23,21,2013-04-22 21:00:00,GPM,0.0,stream,Flow (GPM)
118,2013-04-23,22,2013-04-22 22:00:00,GPM,1.0,stream,Flow (GPM)
119,2013-04-23,23,2013-04-22 23:00:00,GPM,0.0,stream,Flow (GPM)
120,2013-04-24,0,2013-04-24 00:00:00,GPM,0.0,stream,Flow (GPM)
121,2013-04-24,1,2013-04-24 01:00:00,GPM,0.0,stream,Flow (GPM)
122,2013-04-24,2,2013-04-24 02:00:00,GPM,0.0,stream,Flow (GPM)
123,2013-04-24,3,2013-04-24 03:00:00,GPM,0.0,stream,Flow (GPM)
124,2013-04-24,4,2013-04-24 04:00:00,GPM,0.0,stream,Flow (GPM)
125,2013-04-24,5,2013-04-24 05:00:00,GPM,0.0,stream,Flow (GPM)
126,2013-04-24,6,2013-04-24 06:00:00,GPM,0.16666666666666666,stream,Flow (GPM)
127,2013-04-24,7,2013-04-24 07:00:00,GPM,0.16666666666666666,stream,Flow (GPM)
128,2013-04-24,8,2013-04-24 08:00:00,GPM,0.16666666666666666,stream,Flow (GPM)
129,2013-04-24,9,2013-04-24 09:00:00,GPM,0.0,stream,Flow (GPM)
130,2013-04-24,10,2013-04-24 10:00:00,GPM,0.16666666666666666,stream,Flow (GPM)
131,2013-04-24,11,2013-04-24 11:00:00,GPM,0.3333333333333333,stream,Flow (GPM)
132,2013-04-24,12,2013-04-24 12:00:00,GPM,0.16666666666666666,stream,Flow (GPM)
133,2013-04-24,13,2013-04-24 13:00:00,GPM,0.0,stream,Flow (GPM)
134,2013-04-24,14,2013-04-24 14:00:00,GPM,0.0,stream,Flow (GPM)
135,2013-04-24,15,2013-04-24 15:00:00,GPM,0.0,stream,Flow (GPM)
136,2013-04-24,16,2013-04-24 16:00:00,GPM,0.0,stream,Flow (GPM)
137,2013-04-24,17,2013-04-23 17:00:00,GPM,0.0,stream,Flow (GPM)
138,2013-04-24,18,2013-04-23 18:00:00,GPM,0.0,stream,Flow (GPM)
139,2013-04-24,19,2013-04-23 19:00:00,GPM,0.0,stream,Flow (GPM)
140,2013-04-24,20,2013-04-23 20:00:00,GPM,0.5,stream,Flow (GPM)
141,2013-04-24,21,2013-04-23 21:00:00,GPM,0.0,stream,Flow (GPM)
142,2013-04-24,22,2013-04-23 22:00:00,GPM,0.0,stream,Flow (GPM)
143,2013-04-24,23,2013-04-23 23:00:00,GPM,0.3333333333333333,stream,Flow (GPM)
144,2013-04-25,0,2013-04-25 00:00:00,GPM,0.0,stream,Flow (GPM)
145,2013-04-25,1,2013-04-25 01:00:00,GPM,0.0,stream,Flow (GPM)
146,2013-04-25,2,2013-04-25 02:00:00,GPM,0.0,stream,Flow (GPM)
147,2013-04-25,3,2013-04-25 03:00:00,GPM,0.0,stream,Flow (GPM)
148,2013-04-25,4,2013-04-25 04:00:00,GPM,0.0,stream,Flow (GPM)
149,2013-04-25,5,2013-04-25 05:00:00,GPM,0.0,stream,Flow (GPM)
150,2013-04-25,6,2013-04-25 06:00:00,GPM,0.0,stream,Flow (GPM)
151,2013-04-25,7,2013-04-25 07:00:00,GPM,0.3333333333333333,stream,Flow (GPM)
152,2013-04-25,8,2013-04-25 08:00:00,GPM,0.3333333333333333,stream,Flow (GPM)
153,2013-04-25,9,2013-04-25 09:00:00,GPM,0.16666666666666666,stream,Flow (GPM)
154,2013-04-25,10,2013-04-25 10:00:00,GPM,0.0,stream,Flow (GPM)
155,2013-04-25,11,2013-04-25 11:00:00,GPM,0.0,stream,Flow (GPM)
156,2013-04-25,12,2013-04-25 12:00:00,GPM,0.0,stream,Flow (GPM)
157,2013-04-25,13,2013-04-25 13:00:00,GPM,0.16666666666666666,stream,Flow (GPM)
158,2013-04-25,14,2013-04-25 14:00:00,GPM,0.16666666666666666,stream,Flow (GPM)
159,2013-04-25,15,2013-04-25 15:00:00,GPM,0.0,stream,Flow (GPM)
160,2013-04-25,16,2013-04-25 16:00:00,GPM,0.16666666666666666,stream,Flow (GPM)
161,2013-04-25,17,2013-04-24 17:00:00,GPM,0.16666666666666666,stream,Flow (GPM)
162,2013-04-25,18,2013-04-24 18:00:00,GPM,0.16666666666666666,stream,Flow (GPM)
163,2013-04-25,19,2013-04-24 19:00:00,GPM,0.0,stream,Flow (GPM)
164,2013-04-25,20,2013-04-24 20:00:00,GPM,0.16666666666666666,stream,Flow (GPM)
165,2013-04-25,21,2013-04-24 21:00:00,GPM,0.16666666666666666,stream,Flow (GPM)
166,2013-04-25,22,2013-04-24 22:00:00,GPM,0.0,stream,Flow (GPM)
167,2013-04-25,23,2013-04-24 23:00:00,GPM,0.6666666666666666,stream,Flow (GPM)
168,2013-04-26,0,2013-04-26 00:00:00,GPM,0.0,stream,Flow (GPM)
169,2013-04-26,1,2013-04-26 01:00:00,GPM,0.0,stream,Flow (GPM)
170,2013-04-26,2,2013-04-26 02:00:00,GPM,0.0,stream,Flow (GPM)
171,2013-04-26,3,2013-04-26 03:00:00,GPM,0.0,stream,Flow (GPM)
172,2013-04-26,4,2013-04-26 04:00:00,GPM,0.0,stream,Flow (GPM)
173,2013-04-26,5,2013-04-26 05:00:00,GPM,0.0,stream,Flow (GPM)
174,2013-04-26,6,2013-04-26 06:00:00,GPM,0.6666666666666666,stream,Flow (GPM)
175,2013-04-26,7,2013-04-26 07:00:00,GPM,0.16666666666666666,stream,Flow (GPM)
176,2013-04-26,8,2013-04-26 08:00:00,GPM,0.6666666666666666,stream,Flow (GPM)
177,2013-04-26,9,2013-04-26 09:00:00,GPM,0.0,stream,Flow (GPM)
178,2013-04-26,10,2013-04-26 10:00:00,GPM,0.16666666666666666,stream,Flow (GPM)
179,2013-04-26,11,2013-04-26 11:00:00,GPM,0.0,stream,Flow (GPM)
180,2013-04-26,12,2013-04-26 12:00:00,GPM,0.0,stream,Flow (GPM)
181,2013-04-26,13,2013-04-26 13:00:00,GPM,0.0,stream,Flow (GPM)
182,2013-04-26,14,2013-04-26 14:00:00,GPM,0.0,stream,Flow (GPM)
183,2013-04-26,15,2013-04-26 15:00:00,GPM,0.0,stream,Flow (GPM)
184,2013-04-26,16,2013-04-26 16:00:00,GPM,0.0,stream,Flow (GPM)
185,2013-04-26,17,2013-04-25 17:00:00,GPM,0.0,stream,Flow (GPM)
186,2013-04-26,18,2013-04-25 18:00:00,GPM,0.3333333333333333,stream,Flow (GPM)
187,2013-04-26,19,2013-04-25 19:00:00,GPM,0.6666666666666666,stream,Flow (GPM)
188,2013-04-26,20,2013-04-25 20:00:00,GPM,0.16666666666666666,stream,Flow (GPM)
189,2013-04-26,21,2013-04-25 21:00:00,GPM,0.6666666666666666,stream,Flow (GPM)
190,2013-04-26,22,2013-04-25 22:00:00,GPM,0.0,stream,Flow (GPM)
191,2013-04-26,23,2013-04-25 23:00:00,GPM,0.0,stream,Flow (GPM)
