,variable,Date,Hour,value,units,site,dates,WeekDay,WeekPart,time stamp
116,Total.Flow,8/15/2016,14,0.024933333,GPM,BuildingB,8/15/2016,2,Weekday,8/15/2016 14:00
117,Total.Flow,8/15/2016,15,0.0748,GPM,BuildingB,8/15/2016,2,Weekday,8/15/2016 15:00
118,Total.Flow,8/15/2016,16,0.174533333,GPM,BuildingB,8/15/2016,2,Weekday,8/15/2016 16:00
119,Total.Flow,8/15/2016,17,0.199466667,GPM,BuildingB,8/15/2016,2,Weekday,8/15/2016 17:00
120,Total.Flow,8/15/2016,18,0.274266667,GPM,BuildingB,8/15/2016,2,Weekday,8/15/2016 18:00
121,Total.Flow,8/15/2016,19,0.199466667,GPM,BuildingB,8/15/2016,2,Weekday,8/15/2016 19:00
122,Total.Flow,8/15/2016,20,0.087266667,GPM,BuildingB,8/15/2016,2,Weekday,8/15/2016 20:00
123,Total.Flow,8/15/2016,21,0.162066667,GPM,BuildingB,8/15/2016,2,Weekday,8/15/2016 21:00
124,Total.Flow,8/15/2016,22,0.012466667,GPM,BuildingB,8/15/2016,2,Weekday,8/15/2016 22:00
125,Total.Flow,8/15/2016,23,0.0374,GPM,BuildingB,8/15/2016,2,Weekday,8/15/2016 23:00
126,Total.Flow,8/16/2016,0,0.012466667,GPM,BuildingB,8/16/2016,3,Weekday,8/16/2016 0:00
127,Total.Flow,8/16/2016,1,0,GPM,BuildingB,8/16/2016,3,Weekday,8/16/2016 1:00
128,Total.Flow,8/16/2016,2,0.012466667,GPM,BuildingB,8/16/2016,3,Weekday,8/16/2016 2:00
129,Total.Flow,8/16/2016,3,0.012466667,GPM,BuildingB,8/16/2016,3,Weekday,8/16/2016 3:00
130,Total.Flow,8/16/2016,4,0,GPM,BuildingB,8/16/2016,3,Weekday,8/16/2016 4:00
131,Total.Flow,8/16/2016,5,0.024933333,GPM,BuildingB,8/16/2016,3,Weekday,8/16/2016 5:00
132,Total.Flow,8/16/2016,6,1.558333333,GPM,BuildingB,8/16/2016,3,Weekday,8/16/2016 6:00
133,Total.Flow,8/16/2016,7,0.6358,GPM,BuildingB,8/16/2016,3,Weekday,8/16/2016 7:00
134,Total.Flow,8/16/2016,8,0.2992,GPM,BuildingB,8/16/2016,3,Weekday,8/16/2016 8:00
135,Total.Flow,8/16/2016,9,0.286733333,GPM,BuildingB,8/16/2016,3,Weekday,8/16/2016 9:00
136,Total.Flow,8/16/2016,10,0.311666667,GPM,BuildingB,8/16/2016,3,Weekday,8/16/2016 10:00
137,Total.Flow,8/16/2016,11,0.2992,GPM,BuildingB,8/16/2016,3,Weekday,8/16/2016 11:00
138,Total.Flow,8/16/2016,12,0.087266667,GPM,BuildingB,8/16/2016,3,Weekday,8/16/2016 12:00
139,Total.Flow,8/16/2016,13,0.249333333,GPM,BuildingB,8/16/2016,3,Weekday,8/16/2016 13:00
140,Total.Flow,8/16/2016,14,0.124666667,GPM,BuildingB,8/16/2016,3,Weekday,8/16/2016 14:00
141,Total.Flow,8/16/2016,15,0.124666667,GPM,BuildingB,8/16/2016,3,Weekday,8/16/2016 15:00
142,Total.Flow,8/16/2016,16,0.0748,GPM,BuildingB,8/16/2016,3,Weekday,8/16/2016 16:00
143,Total.Flow,8/16/2016,17,0.324133333,GPM,BuildingB,8/16/2016,3,Weekday,8/16/2016 17:00
144,Total.Flow,8/16/2016,18,0.099733333,GPM,BuildingB,8/16/2016,3,Weekday,8/16/2016 18:00
145,Total.Flow,8/16/2016,19,0.1496,GPM,BuildingB,8/16/2016,3,Weekday,8/16/2016 19:00
146,Total.Flow,8/16/2016,20,0.2244,GPM,BuildingB,8/16/2016,3,Weekday,8/16/2016 20:00
147,Total.Flow,8/16/2016,21,0.3366,GPM,BuildingB,8/16/2016,3,Weekday,8/16/2016 21:00
148,Total.Flow,8/16/2016,22,0.049866667,GPM,BuildingB,8/16/2016,3,Weekday,8/16/2016 22:00
149,Total.Flow,8/16/2016,23,0.024933333,GPM,BuildingB,8/16/2016,3,Weekday,8/16/2016 23:00
150,Total.Flow,8/17/2016,0,0.0374,GPM,BuildingB,8/17/2016,4,Weekday,8/17/2016 0:00
151,Total.Flow,8/17/2016,1,0.024933333,GPM,BuildingB,8/17/2016,4,Weekday,8/17/2016 1:00
152,Total.Flow,8/17/2016,2,0.012466667,GPM,BuildingB,8/17/2016,4,Weekday,8/17/2016 2:00
