,dates,value,Hour,WeekDay,timestep_sum,peak_volumes,peak_hours,peak_norm,site
37,2019-05-10,1231.956,276,144,24,311.91600000000005,9,0.2531876138433516,ejames
38,2019-05-11,1217.744,276,168,24,262.548,14,0.21560196560196562,ejames
39,2019-05-14,1090.584000000001,276,72,24,255.06800000000044,11,0.23388203017832668,ejames
40,2019-05-15,1242.428000000001,276,96,24,277.5080000000004,9,0.22335942203491885,ejames
41,2019-05-16,1080.1129999999998,276,120,24,246.09199999999984,9,0.22783912423977848,ejames
42,2019-05-17,1246.9160000000006,276,144,24,384.4720000000002,10,0.30833833233353325,ejames
43,2019-05-18,928.2579999999997,276,168,24,210.188,12,0.2264327374501486,ejames
44,2019-05-21,1089.8359999999996,276,72,24,223.652,15,0.20521619766643798,ejames
45,2019-05-22,1129.4799999999998,276,96,24,311.916,10,0.27615894039735106,ejames
46,2019-05-23,1098.812,276,120,24,267.03599999999943,10,0.24302246426140184,ejames
47,2019-05-24,1015.7839999999999,276,144,24,231.87999999999977,10,0.22827687776141364,ejames
48,2019-05-25,985.864,276,168,24,205.7000000000004,13,0.2086494688922614,ejames
49,2019-05-28,1141.4480000000003,276,72,24,246.09199999999993,17,0.21559633027522926,ejames
50,2019-05-29,1518.44,276,96,24,335.10399999999964,22,0.22068965517241357,ejames
51,2019-05-30,1664.2880000000007,276,120,24,349.3160000000004,22,0.20988915380030393,ejames
52,2019-05-31,1533.413,276,144,24,307.428,10,0.20048610517844834,ejames
53,2019-06-01,1418.2080000000003,276,168,24,296.20799999999997,17,0.20886075949367083,ejames
54,2019-06-19,1183.336000000001,276,96,24,302.93999999999994,8,0.25600505689001246,ejames
55,2019-06-20,1195.3039999999994,276,120,24,365.7719999999994,10,0.3060075093867331,ejames
56,2019-06-21,1090.5840000000003,276,144,24,281.996,9,0.25857338820301773,ejames
57,2019-06-22,1135.4639999999997,276,168,24,252.0759999999996,10,0.222002635046113,ejames
58,2019-06-25,1406.2150000000013,276,72,24,335.10400000000016,8,0.23830210885248693,ejames
59,2019-06-26,1609.695999999999,276,96,24,341.088,22,0.21189591078066927,ejames
60,2019-06-27,1312.74,276,120,24,302.1920000000004,10,0.23019943019943048,ejames
61,2019-06-28,1558.8449999999998,276,144,24,688.9079999999994,11,0.44193489410428843,ejames
62,2019-06-29,1102.552,276,168,24,328.3719999999996,11,0.2978290366350065,ejames
63,2019-07-02,1389.0359999999994,276,72,24,356.0479999999998,11,0.25632740980075386,ejames
64,2019-07-03,942.4820000000007,276,96,24,190.74000000000044,9,0.2023805229171489,ejames
65,2019-07-05,1105.5440000000003,276,144,24,231.132,9,0.20906630581867386,ejames
66,2019-07-06,997.0839999999994,276,168,24,240.8559999999998,10,0.24156039009752434,ejames
67,2019-07-09,958.9359999999997,276,72,24,234.87199999999982,9,0.24492979719188757,ejames
68,2019-07-10,1067.396,276,96,24,290.2240000000002,10,0.2718990889978979,ejames
69,2019-07-11,1152.668,276,120,24,334.356,9,0.2900713822193381,ejames
70,2019-07-12,1017.2800000000003,276,144,24,230.384,11,0.22647058823529403,ejames
71,2019-07-13,920.788,276,168,24,241.60399999999996,10,0.2623883021933387,ejames
72,2019-07-16,1303.7770000000005,276,72,24,342.59700000000004,11,0.26277269809177484,ejames
73,2019-07-17,1050.94,276,96,24,298.452,12,0.28398576512455515,ejames
74,2019-07-18,914.8039999999999,276,120,24,279.004,9,0.30498773507767785,ejames
75,2019-07-19,1110.0319999999992,276,144,24,293.2159999999998,8,0.2641509433962264,ejames
76,2019-07-20,1147.4320000000002,276,168,24,277.5079999999998,10,0.24185136897001278,ejames
77,2019-07-23,1115.2680000000007,276,72,24,311.16800000000035,10,0.279007377598927,ejames
78,2019-07-24,994.8399999999999,276,96,24,262.548,10,0.26390977443609026,ejames
79,2019-07-25,1279.079999999999,276,120,24,255.8159999999998,12,0.2,ejames
80,2019-07-26,1193.808,276,144,24,293.2159999999998,9,0.24561403508771915,ejames
81,2019-07-27,1212.508,276,168,24,246.84,10,0.20357803824799506,ejames
82,2019-07-30,1178.8229999999994,276,72,24,342.58399999999983,10,0.29061530017653203,ejames
83,2019-07-31,1350.1399999999994,276,96,24,282.74399999999997,8,0.20941828254847653,ejames
84,2019-08-01,1052.4359999999997,276,120,24,298.452,9,0.2835820895522389,ejames
85,2019-08-02,1068.8929999999998,276,144,24,258.0610000000002,9,0.2414282814088971,ejames
86,2019-08-03,1029.2480000000005,276,168,24,288.7280000000004,10,0.28052325581395376,ejames
87,2019-08-06,1098.8120000000004,276,72,24,252.07600000000002,11,0.22940776038121166,ejames
88,2019-08-07,1014.2879999999999,276,96,24,233.37599999999998,7,0.23008849557522124,ejames
89,2019-08-08,1157.1459999999995,276,120,24,239.3620000000002,9,0.20685548755299704,ejames
90,2019-08-09,1110.7559999999992,276,144,24,225.14799999999963,13,0.20269798227513497,ejames
91,2019-08-10,1126.4880000000003,276,168,24,334.356,10,0.29681274900398397,ejames
92,2019-08-13,1095.8080000000007,276,72,24,222.90400000000022,7,0.20341519682280118,ejames
93,2019-08-14,1086.096,276,96,24,226.64399999999983,22,0.20867768595041306,ejames
94,2019-08-15,1209.516,276,120,24,252.8239999999998,8,0.20902906617192316,ejames
95,2019-08-16,1145.1879999999992,276,144,24,270.7759999999998,8,0.2364467668190725,ejames
96,2019-08-17,1141.448,276,168,24,305.18399999999986,11,0.2673656618610746,ejames
97,2019-08-20,1140.7000000000005,276,72,24,264.0440000000004,18,0.2314754098360658,ejames
98,2019-08-21,1280.5759999999989,276,96,24,250.5799999999998,10,0.195677570093458,ejames
99,2019-08-22,1089.0630000000003,276,120,24,201.2119999999998,10,0.18475698834686308,ejames
100,2019-08-23,1216.2490000000012,276,144,24,269.2800000000006,19,0.221402031985227,ejames
101,2019-08-24,1160.1480000000006,276,168,24,376.2439999999998,18,0.32430689877498353,ejames
102,2019-08-27,1244.672,276,72,24,270.0280000000002,11,0.21694711538461553,ejames
103,2019-08-28,1035.2450000000001,276,96,24,221.408,9,0.21387014668025442,ejames
104,2019-08-29,1036.7659999999998,276,120,24,228.888,12,0.2207711286828465,ejames
105,2019-08-30,1077.8810000000003,276,144,24,329.1200000000004,10,0.3053398287937169,ejames
106,2019-08-31,973.897,276,168,24,296.9569999999998,11,0.30491622830751075,ejames
107,2019-09-03,1003.0429999999999,276,72,24,207.944,9,0.2073131460964286,ejames
108,2019-09-04,1044.2079999999994,276,96,24,295.4599999999998,11,0.2829512893982808,ejames
109,2019-09-05,986.3088813559325,276,120,24,305.9320000000002,9,0.3101786932907051,ejames
110,2019-09-06,917.796,276,144,24,237.86399999999998,10,0.25916870415647913,ejames
111,2019-09-07,1042.712,276,168,24,245.34400000000022,13,0.23529411764705901,ejames
112,2019-09-10,1027.7520000000006,276,72,24,257.3120000000004,9,0.2503639010189231,ejames
113,2019-09-11,1115.2680000000003,276,96,24,270.0280000000002,8,0.24211938296445348,ejames
114,2019-09-12,1259.6069999999997,276,120,24,318.64799999999997,9,0.2529741419347463,ejames
115,2019-09-13,1271.600000000001,276,144,24,303.68800000000016,9,0.23882352941176466,ejames
116,2019-09-14,1139.204,276,168,24,273.768,18,0.2403151674326986,ejames
117,2019-09-17,1231.208000000001,276,72,24,275.26400000000035,18,0.22357229647630636,ejames
118,2019-09-18,1087.592000000001,276,96,24,246.84000000000057,9,0.22696011004126582,ejames
119,2019-09-19,1227.4679999999998,276,120,24,266.2880000000004,12,0.21694088970140193,ejames
120,2019-09-20,1465.3320000000003,276,144,24,428.604,13,0.29249617151607954,ejames
121,2019-09-21,1188.5720000000006,276,168,24,301.4440000000002,9,0.2536186280679673,ejames
122,2019-09-24,1209.5159999999996,276,72,24,242.35199999999986,8,0.2003710575139146,ejames
123,2019-09-25,1113.0240000000003,276,96,24,219.9120000000004,17,0.19758064516129062,ejames
124,2019-09-26,1630.6399999999994,276,120,24,412.89599999999996,20,0.253211009174312,ejames
125,2019-09-27,1436.1599999999996,276,144,24,273.0199999999998,6,0.19010416666666657,ejames
126,2019-09-28,1013.5399999999997,276,168,24,260.304,9,0.25682656826568273,ejames
127,2019-10-01,1004.5639999999992,276,72,24,317.8999999999998,8,0.3164556962025317,ejames
128,2019-10-02,1317.9640000000002,276,96,24,282.74399999999997,14,0.2145308976572956,ejames
129,2019-10-03,1317.2279999999996,276,120,24,308.17600000000016,15,0.2339579784213517,ejames
130,2019-10-04,1232.7039999999993,276,144,24,290.9719999999998,9,0.2360436893203883,ejames
131,2019-10-05,1230.4599999999994,276,168,24,394.1959999999998,10,0.3203647416413374,ejames
132,2019-10-08,1448.876,276,72,24,317.1520000000002,15,0.2188951987609707,ejames
133,2019-10-09,1157.1560000000004,276,96,24,325.38,9,0.28118939883645755,ejames
134,2019-10-10,1032.9879999999998,276,120,24,221.40800000000036,8,0.21433743664011623,ejames
135,2019-10-11,1195.3040000000005,276,144,24,258.0600000000005,9,0.2158948685857325,ejames
136,2019-10-12,1193.8080000000004,276,168,24,311.916,10,0.2612781954887217,ejames
137,2019-10-15,1243.9239999999995,276,72,24,296.9560000000002,8,0.23872519542994614,ejames
138,2019-10-16,1175.1090000000004,276,96,24,261.0520000000002,12,0.22215130681494238,ejames
139,2019-10-17,1341.1640000000004,276,120,24,243.84799999999984,8,0.18181818181818166,ejames
140,2019-10-18,2079.4410000000003,276,144,24,623.832,12,0.29999985573045834,ejames
141,2019-10-19,1481.0400000000002,276,168,24,420.3760000000002,10,0.28383838383838395,ejames
142,2019-10-22,1192.3120000000006,276,72,24,249.08400000000003,15,0.20890840652446668,ejames
143,2019-10-23,1181.8399999999995,276,96,24,311.16799999999984,9,0.2632911392405063,ejames
144,2019-10-24,1052.4360000000004,276,120,24,248.33599999999998,13,0.23596304193319112,ejames
145,2019-10-25,1220.7359999999996,276,144,24,325.38,11,0.26654411764705893,ejames
146,2019-10-26,1042.7119999999995,276,168,24,253.5719999999996,10,0.24318507890961233,ejames
147,2019-10-29,1268.608,276,72,24,336.59999999999945,9,0.26533018867924485,ejames
148,2019-10-30,1145.1880000000003,276,96,24,279.75199999999984,9,0.2442847811887653,ejames
149,2019-10-31,1166.1450000000002,276,120,24,294.7120000000002,11,0.252723289127853,ejames
150,2019-11-01,1028.5000000000005,276,144,24,228.1399999999998,9,0.22181818181818153,ejames
151,2019-11-02,1118.2599999999998,276,168,24,256.56400000000025,11,0.22943143812709052,ejames
152,2019-11-05,1275.3400000000001,276,72,24,317.1519999999996,13,0.248680351906158,ejames
153,2019-11-06,1399.5080000000003,276,96,24,283.4920000000002,10,0.20256547300908614,ejames
154,2019-11-07,1327.7,276,120,24,317.8999999999998,9,0.2394366197183097,ejames
155,2019-11-08,1305.2599999999995,276,144,24,341.8359999999996,9,0.26189111747850985,ejames
156,2019-11-09,1087.5920000000003,276,168,24,341.08799999999997,10,0.3136176066024758,ejames
157,2019-11-12,1163.8880000000004,276,72,24,279.0040000000002,8,0.2397172236503857,ejames
158,2019-11-13,1226.7199999999996,276,96,24,265.5400000000002,12,0.21646341463414656,ejames
159,2019-11-14,1153.4160000000002,276,120,24,235.61999999999983,17,0.2042801556420232,ejames
160,2019-11-15,1300.7720000000002,276,144,24,318.6480000000002,10,0.2449683726279472,ejames
161,2019-11-16,1115.2679999999991,276,168,24,274.5159999999996,10,0.24614352783366852,ejames
162,2019-11-19,1199.8050000000005,276,72,24,367.26800000000037,10,0.3061064089581226,ejames
163,2019-11-20,1208.7679999999998,276,96,24,266.2879999999998,12,0.22029702970297013,ejames
164,2019-11-21,1347.1479999999995,276,120,24,317.1519999999996,19,0.23542476401998869,ejames
165,2019-11-22,1341.9120000000003,276,144,24,271.524,11,0.2023411371237458,ejames
166,2019-11-23,1260.38,276,168,24,334.356,10,0.2652818991097923,ejames
167,2019-11-26,1428.6799999999992,276,72,24,306.6799999999998,9,0.21465968586387432,ejames
168,2019-11-27,1500.4519999999995,276,96,24,382.93999999999977,9,0.25521642811632755,ejames
169,2019-11-29,1241.68,276,144,24,240.85600000000017,20,0.19397590361445796,ejames
170,2019-11-30,1147.4320000000002,276,168,24,305.9319999999996,9,0.266623207301173,ejames
171,2019-12-03,1403.2480000000005,276,72,24,293.2159999999998,8,0.20895522388059679,ejames
172,2019-12-04,1108.5360000000003,276,96,24,262.548,9,0.23684210526315785,ejames
173,2019-12-05,1341.913,276,120,24,341.088,9,0.25418041259008595,ejames
174,2019-12-06,1296.2850000000003,276,144,24,286.485,10,0.22100464018329297,ejames
175,2019-12-07,1223.728,276,168,24,216.91999999999982,12,0.17726161369193139,ejames
176,2019-12-10,1228.964,276,72,24,332.8599999999996,7,0.2708460133901397,ejames
177,2019-12-11,1175.1080000000004,276,96,24,318.648,14,0.2711648631444939,ejames
178,2019-12-12,1212.5079999999996,276,120,24,313.4119999999998,10,0.2584824182603331,ejames
179,2019-12-13,1499.0049999999999,276,144,24,376.9919999999994,9,0.251494824900517,ejames
180,2019-12-14,1468.3239999999992,276,168,24,264.04399999999976,12,0.1798267957208354,ejames
