,time stamp,time_pt,var,vartype,site,value,Date,Hour,WeekDay,WeekPart,dates,timestep_sum
52,2019-03-22 04:00:00,2019-03-22 04:00:00,Flow_CW,Flow (GPM),ejames,14.21200000000002,2019-03-22,4,6,Weekday,2019-03-22,1
53,2019-03-22 05:00:00,2019-03-22 05:00:00,Flow_CW,Flow (GPM),ejames,7.48000000000002,2019-03-22,5,6,Weekday,2019-03-22,1
54,2019-03-22 06:00:00,2019-03-22 06:00:00,Flow_CW,Flow (GPM),ejames,48.61999999999998,2019-03-22,6,6,Weekday,2019-03-22,1
55,2019-03-22 07:00:00,2019-03-22 07:00:00,Flow_CW,Flow (GPM),ejames,76.296,2019-03-22,7,6,Weekday,2019-03-22,1
56,2019-03-22 08:00:00,2019-03-22 08:00:00,Flow_CW,Flow (GPM),ejames,68.8159999999998,2019-03-22,8,6,Weekday,2019-03-22,1
57,2019-03-22 09:00:00,2019-03-22 09:00:00,Flow_CW,Flow (GPM),ejames,79.2880000000002,2019-03-22,9,6,Weekday,2019-03-22,1
58,2019-03-22 10:00:00,2019-03-22 10:00:00,Flow_CW,Flow (GPM),ejames,157.8280000000002,2019-03-22,10,6,Weekday,2019-03-22,1
59,2019-03-22 11:00:00,2019-03-22 11:00:00,Flow_CW,Flow (GPM),ejames,97.2400000000002,2019-03-22,11,6,Weekday,2019-03-22,1
60,2019-03-22 12:00:00,2019-03-22 12:00:00,Flow_CW,Flow (GPM),ejames,106.96399999999981,2019-03-22,12,6,Weekday,2019-03-22,1
61,2019-03-22 13:00:00,2019-03-22 13:00:00,Flow_CW,Flow (GPM),ejames,60.588,2019-03-22,13,6,Weekday,2019-03-22,1
62,2019-03-22 14:00:00,2019-03-22 14:00:00,Flow_CW,Flow (GPM),ejames,45.62800000000002,2019-03-22,14,6,Weekday,2019-03-22,1
63,2019-03-22 15:00:00,2019-03-22 15:00:00,Flow_CW,Flow (GPM),ejames,107.71199999999999,2019-03-22,15,6,Weekday,2019-03-22,1
64,2019-03-22 16:00:00,2019-03-22 16:00:00,Flow_CW,Flow (GPM),ejames,63.580000000000204,2019-03-22,16,6,Weekday,2019-03-22,1
65,2019-03-22 17:00:00,2019-03-22 17:00:00,Flow_CW,Flow (GPM),ejames,71.808,2019-03-22,17,6,Weekday,2019-03-22,1
66,2019-03-22 18:00:00,2019-03-22 18:00:00,Flow_CW,Flow (GPM),ejames,65.076,2019-03-22,18,6,Weekday,2019-03-22,1
67,2019-03-22 19:00:00,2019-03-22 19:00:00,Flow_CW,Flow (GPM),ejames,46.37599999999998,2019-03-22,19,6,Weekday,2019-03-22,1
68,2019-03-22 20:00:00,2019-03-22 20:00:00,Flow_CW,Flow (GPM),ejames,56.1,2019-03-22,20,6,Weekday,2019-03-22,1
69,2019-03-22 21:00:00,2019-03-22 21:00:00,Flow_CW,Flow (GPM),ejames,60.588,2019-03-22,21,6,Weekday,2019-03-22,1
70,2019-03-22 22:00:00,2019-03-22 22:00:00,Flow_CW,Flow (GPM),ejames,12.715999999999982,2019-03-22,22,6,Weekday,2019-03-22,1
71,2019-03-22 23:00:00,2019-03-22 23:00:00,Flow_CW,Flow (GPM),ejames,43.384000000000015,2019-03-22,23,6,Weekday,2019-03-22,1
72,2019-03-23 00:00:00,2019-03-23 00:00:00,Flow_CW,Flow (GPM),ejames,11.22,2019-03-23,0,7,Weekend,2019-03-23,1
73,2019-03-23 01:00:00,2019-03-23 01:00:00,Flow_CW,Flow (GPM),ejames,5.983999999999998,2019-03-23,1,7,Weekend,2019-03-23,1
74,2019-03-23 02:00:00,2019-03-23 02:00:00,Flow_CW,Flow (GPM),ejames,5.983999999999998,2019-03-23,2,7,Weekend,2019-03-23,1
75,2019-03-23 03:00:00,2019-03-23 03:00:00,Flow_CW,Flow (GPM),ejames,13.463999999999999,2019-03-23,3,7,Weekend,2019-03-23,1
76,2019-03-23 04:00:00,2019-03-23 04:00:00,Flow_CW,Flow (GPM),ejames,20.196,2019-03-23,4,7,Weekend,2019-03-23,1
77,2019-03-23 05:00:00,2019-03-23 05:00:00,Flow_CW,Flow (GPM),ejames,10.47199999999998,2019-03-23,5,7,Weekend,2019-03-23,1
78,2019-03-23 06:00:00,2019-03-23 06:00:00,Flow_CW,Flow (GPM),ejames,9.72400000000002,2019-03-23,6,7,Weekend,2019-03-23,1
79,2019-03-23 07:00:00,2019-03-23 07:00:00,Flow_CW,Flow (GPM),ejames,68.8159999999998,2019-03-23,7,7,Weekend,2019-03-23,1
80,2019-03-23 08:00:00,2019-03-23 08:00:00,Flow_CW,Flow (GPM),ejames,53.855999999999995,2019-03-23,8,7,Weekend,2019-03-23,1
81,2019-03-23 09:00:00,2019-03-23 09:00:00,Flow_CW,Flow (GPM),ejames,59.839999999999975,2019-03-23,9,7,Weekend,2019-03-23,1
82,2019-03-23 10:00:00,2019-03-23 10:00:00,Flow_CW,Flow (GPM),ejames,113.69599999999981,2019-03-23,10,7,Weekend,2019-03-23,1
83,2019-03-23 11:00:00,2019-03-23 11:00:00,Flow_CW,Flow (GPM),ejames,86.76799999999982,2019-03-23,11,7,Weekend,2019-03-23,1
84,2019-03-23 12:00:00,2019-03-23 12:00:00,Flow_CW,Flow (GPM),ejames,113.69599999999981,2019-03-23,12,7,Weekend,2019-03-23,1
85,2019-03-23 13:00:00,2019-03-23 13:00:00,Flow_CW,Flow (GPM),ejames,89.76,2019-03-23,13,7,Weekend,2019-03-23,1
86,2019-03-23 14:00:00,2019-03-23 14:00:00,Flow_CW,Flow (GPM),ejames,65.076,2019-03-23,14,7,Weekend,2019-03-23,1
87,2019-03-23 15:00:00,2019-03-23 15:00:00,Flow_CW,Flow (GPM),ejames,43.384000000000015,2019-03-23,15,7,Weekend,2019-03-23,1
