,time stamp,date_pt,hour_pt,time_pt,var,value,site,vartype,dates,timestep_sum
63,2015-01-03 15:00:00,2015-01-03,15,2015-01-03 15:00:00,GPM,210.0,sunset,Flow (GPM),2015-01-03,1
64,2015-01-03 16:00:00,2015-01-04,16,2015-01-03 16:00:00,GPM,70.0,sunset,Flow (GPM),2015-01-03,1
65,2015-01-03 17:00:00,2015-01-04,17,2015-01-03 17:00:00,GPM,150.0,sunset,Flow (GPM),2015-01-03,1
66,2015-01-03 18:00:00,2015-01-04,18,2015-01-03 18:00:00,GPM,80.0,sunset,Flow (GPM),2015-01-03,1
67,2015-01-03 19:00:00,2015-01-04,19,2015-01-03 19:00:00,GPM,110.00000000000001,sunset,Flow (GPM),2015-01-03,1
68,2015-01-03 20:00:00,2015-01-04,20,2015-01-03 20:00:00,GPM,70.0,sunset,Flow (GPM),2015-01-03,1
69,2015-01-03 21:00:00,2015-01-04,21,2015-01-03 21:00:00,GPM,30.0,sunset,Flow (GPM),2015-01-03,1
70,2015-01-03 22:00:00,2015-01-04,22,2015-01-03 22:00:00,GPM,30.0,sunset,Flow (GPM),2015-01-03,1
71,2015-01-03 23:00:00,2015-01-04,23,2015-01-03 23:00:00,GPM,40.0,sunset,Flow (GPM),2015-01-03,1
72,2015-01-04 00:00:00,2015-01-04,0,2015-01-04 00:00:00,GPM,30.0,sunset,Flow (GPM),2015-01-04,1
73,2015-01-04 01:00:00,2015-01-04,1,2015-01-04 01:00:00,GPM,10.0,sunset,Flow (GPM),2015-01-04,1
74,2015-01-04 02:00:00,2015-01-04,2,2015-01-04 02:00:00,GPM,10.0,sunset,Flow (GPM),2015-01-04,1
75,2015-01-04 03:00:00,2015-01-04,3,2015-01-04 03:00:00,GPM,10.0,sunset,Flow (GPM),2015-01-04,1
76,2015-01-04 04:00:00,2015-01-04,4,2015-01-04 04:00:00,GPM,10.0,sunset,Flow (GPM),2015-01-04,1
77,2015-01-04 05:00:00,2015-01-04,5,2015-01-04 05:00:00,GPM,0.0,sunset,Flow (GPM),2015-01-04,1
78,2015-01-04 06:00:00,2015-01-04,6,2015-01-04 06:00:00,GPM,10.0,sunset,Flow (GPM),2015-01-04,1
79,2015-01-04 07:00:00,2015-01-04,7,2015-01-04 07:00:00,GPM,50.0,sunset,Flow (GPM),2015-01-04,1
80,2015-01-04 08:00:00,2015-01-04,8,2015-01-04 08:00:00,GPM,40.0,sunset,Flow (GPM),2015-01-04,1
81,2015-01-04 09:00:00,2015-01-04,9,2015-01-04 09:00:00,GPM,80.00000000000001,sunset,Flow (GPM),2015-01-04,1
82,2015-01-04 10:00:00,2015-01-04,10,2015-01-04 10:00:00,GPM,80.00000000000001,sunset,Flow (GPM),2015-01-04,1
83,2015-01-04 11:00:00,2015-01-04,11,2015-01-04 11:00:00,GPM,250.00000000000003,sunset,Flow (GPM),2015-01-04,1
84,2015-01-04 12:00:00,2015-01-04,12,2015-01-04 12:00:00,GPM,190.0,sunset,Flow (GPM),2015-01-04,1
85,2015-01-04 13:00:00,2015-01-04,13,2015-01-04 13:00:00,GPM,150.0,sunset,Flow (GPM),2015-01-04,1
86,2015-01-04 14:00:00,2015-01-04,14,2015-01-04 14:00:00,GPM,110.00000000000001,sunset,Flow (GPM),2015-01-04,1
87,2015-01-04 15:00:00,2015-01-04,15,2015-01-04 15:00:00,GPM,60.0,sunset,Flow (GPM),2015-01-04,1
88,2015-01-04 16:00:00,2015-01-05,16,2015-01-04 16:00:00,GPM,90.0,sunset,Flow (GPM),2015-01-04,1
89,2015-01-04 17:00:00,2015-01-05,17,2015-01-04 17:00:00,GPM,140.0,sunset,Flow (GPM),2015-01-04,1
90,2015-01-04 18:00:00,2015-01-05,18,2015-01-04 18:00:00,GPM,110.00000000000001,sunset,Flow (GPM),2015-01-04,1
91,2015-01-04 19:00:00,2015-01-05,19,2015-01-04 19:00:00,GPM,80.0,sunset,Flow (GPM),2015-01-04,1
92,2015-01-04 20:00:00,2015-01-05,20,2015-01-04 20:00:00,GPM,160.00000000000003,sunset,Flow (GPM),2015-01-04,1
