,dates,hour_pt,value,timestep_sum,peak_volumes,peak_hours,peak_norm,site
117,2014-06-25,276,2730.0,24,919.9999999999999,8,0.33699633699633696,stream
118,2014-06-26,276,2920.0000000000005,24,870.0,8,0.297945205479452,stream
119,2014-06-27,276,2509.9999999999995,24,890.0000000000001,7,0.354581673306773,stream
120,2014-06-28,276,2810.0,24,690.0,10,0.24555160142348753,stream
121,2014-07-22,276,2959.9999999999995,24,900.0000000000001,8,0.3040540540540541,stream
122,2014-07-23,276,2770.0000000000005,24,860.0,8,0.31046931407942235,stream
123,2014-07-24,276,2750.0000000000005,24,1050.0,8,0.3818181818181817,stream
124,2014-07-25,276,2530.0,24,839.9999999999999,8,0.3320158102766798,stream
125,2014-07-26,276,2680.0000000000005,24,710.0,11,0.26492537313432835,stream
126,2014-07-29,276,2609.9999999999995,24,770.0,7,0.29501915708812265,stream
127,2014-07-30,276,3040.0000000000005,24,960.0,7,0.3157894736842105,stream
128,2014-07-31,276,2450.0,24,859.9999999999999,8,0.35102040816326524,stream
129,2014-08-01,276,2450.0,24,799.9999999999999,8,0.32653061224489793,stream
130,2014-08-02,276,2510.0,24,710.0,11,0.2828685258964143,stream
131,2014-08-08,276,2350.0000000000005,24,880.0000000000001,8,0.37446808510638296,stream
132,2014-08-09,276,2669.999999999999,24,690.0,11,0.2584269662921349,stream
133,2014-08-12,276,2490.0000000000005,24,790.0000000000001,7,0.31726907630522083,stream
134,2014-08-13,276,2610.0,24,859.9999999999999,7,0.3295019157088122,stream
135,2014-08-14,276,2430.0,24,840.0,7,0.345679012345679,stream
136,2014-08-15,276,2720.0,24,760.0000000000001,7,0.27941176470588236,stream
137,2014-08-16,276,2659.9999999999995,24,730.0,12,0.2744360902255639,stream
138,2014-08-19,276,2830.000000000001,24,870.0,7,0.30742049469964655,stream
139,2014-08-20,276,2639.9999999999995,24,800.0,8,0.3030303030303031,stream
140,2014-08-21,276,2429.9999999999995,24,800.0,8,0.32921810699588483,stream
141,2014-08-22,276,2600.0000000000005,24,810.0,8,0.3115384615384615,stream
142,2014-08-23,276,2490.000000000001,24,720.0,10,0.289156626506024,stream
143,2014-08-26,276,2480.0,24,750.0,8,0.3024193548387097,stream
144,2014-09-06,276,2480.0,24,730.0000000000001,10,0.29435483870967744,stream
145,2014-09-18,276,2479.9999999999995,24,840.0,7,0.33870967741935487,stream
146,2014-09-19,276,2340.0,24,660.0,8,0.28205128205128205,stream
147,2014-09-20,276,2549.9999999999995,24,670.0,11,0.2627450980392157,stream
148,2014-09-30,276,2790.0000000000005,24,930.0,7,0.33333333333333326,stream
149,2014-10-01,276,2250.0,24,790.0000000000001,8,0.35111111111111115,stream
150,2014-10-02,276,2690.0,24,850.0,8,0.3159851301115241,stream
151,2014-10-14,276,2550.0,24,920.0,8,0.3607843137254902,stream
152,2014-10-15,276,2379.9999999999995,24,750.0,7,0.31512605042016817,stream
153,2014-10-23,276,2550.0,24,770.0,8,0.3019607843137255,stream
154,2014-10-24,276,1940.0000000000002,24,780.0,8,0.40206185567010305,stream
155,2014-11-07,276,2080.0000000000005,24,750.0,8,0.360576923076923,stream
156,2014-11-08,276,2529.9999999999995,24,660.0,10,0.26086956521739135,stream
157,2014-11-18,276,2590.0,24,910.0,8,0.35135135135135137,stream
158,2014-11-19,276,2329.9999999999995,24,910.0000000000001,8,0.39055793991416315,stream
159,2014-12-02,276,2559.9999999999995,24,1020.0,8,0.3984375000000001,stream
160,2014-12-05,276,2410.000000000001,24,900.0,7,0.37344398340248947,stream
161,2014-12-06,276,2580.000000000001,24,650.0,11,0.251937984496124,stream
162,2014-12-09,276,2770.0000000000005,24,900.0,8,0.3249097472924187,stream
163,2014-12-10,276,2569.999999999999,24,840.0,8,0.32684824902723747,stream
164,2014-12-11,276,2480.0,24,900.0,7,0.36290322580645157,stream
165,2014-12-12,276,2450.0,24,910.0,8,0.3714285714285714,stream
166,2014-12-13,276,2929.9999999999995,24,730.0000000000001,13,0.24914675767918093,stream
167,2014-12-16,276,2590.0,24,769.9999999999999,8,0.2972972972972973,stream
168,2014-12-17,276,2599.9999999999995,24,750.0,8,0.2884615384615385,stream
169,2014-12-18,276,2660.0,24,820.0000000000001,8,0.3082706766917293,stream
170,2014-12-19,276,2230.0,24,780.0000000000001,8,0.3497757847533633,stream
171,2014-12-20,276,2329.999999999999,24,690.0000000000001,11,0.29613733905579415,stream
172,2014-12-23,276,2500.0,24,670.0000000000001,8,0.268,stream
173,2014-12-24,276,2129.9999999999995,24,640.0,8,0.3004694835680752,stream
174,2014-12-26,276,1820.0,24,510.0,10,0.2802197802197802,stream
175,2014-12-27,276,1819.9999999999998,24,630.0,13,0.3461538461538462,stream
176,2014-12-30,276,2309.9999999999995,24,620.0,21,0.26839826839826847,stream
177,2014-12-31,276,2650.0000000000005,24,690.0,8,0.26037735849056604,stream
178,2015-01-02,276,2390.0,24,610.0000000000001,11,0.25523012552301255,stream
179,2015-01-03,276,2869.9999999999995,24,790.0000000000001,15,0.2752613240418119,stream
180,2015-01-06,276,2490.0000000000005,24,769.9999999999999,7,0.30923694779116456,stream
181,2015-01-07,276,2550.0000000000005,24,780.0,8,0.30588235294117644,stream
182,2015-01-08,276,2600.0,24,860.0,8,0.33076923076923076,stream
183,2015-01-09,276,2300.0,24,810.0000000000001,8,0.3521739130434783,stream
184,2015-01-10,276,2860.0000000000005,24,720.0000000000001,10,0.2517482517482518,stream
185,2015-01-13,276,2770.0,24,859.9999999999999,7,0.31046931407942235,stream
186,2015-01-14,276,2579.9999999999995,24,850.0000000000001,8,0.32945736434108536,stream
187,2015-01-15,276,2659.9999999999995,24,790.0,8,0.29699248120300753,stream
188,2015-01-16,276,2549.9999999999995,24,800.0,8,0.3137254901960785,stream
189,2015-01-17,276,2930.0,24,790.0,11,0.26962457337883955,stream
190,2015-01-22,276,2719.9999999999995,24,799.9999999999999,8,0.29411764705882354,stream
191,2015-01-23,276,2410.0,24,890.0,7,0.36929460580912865,stream
192,2015-01-27,276,2800.0,24,730.0,7,0.26071428571428573,stream
193,2015-01-28,276,2950.0,24,1000.0000000000001,8,0.33898305084745767,stream
194,2015-01-29,276,2630.0,24,769.9999999999999,8,0.2927756653992395,stream
195,2015-01-30,276,2750.0,24,870.0,8,0.31636363636363635,stream
196,2015-01-31,276,2950.0,24,710.0,15,0.24067796610169495,stream
197,2015-02-03,276,2800.0,24,850.0,7,0.30357142857142855,stream
198,2015-02-04,276,2929.9999999999995,24,790.0,8,0.2696245733788396,stream
199,2015-02-05,276,2719.999999999999,24,819.9999999999999,7,0.30147058823529416,stream
200,2015-02-06,276,2360.0,24,900.0,8,0.3813559322033898,stream
201,2015-02-07,276,2680.0,24,740.0,10,0.27611940298507465,stream
202,2015-02-10,276,2650.0,24,820.0,8,0.30943396226415093,stream
203,2015-02-11,276,2569.9999999999995,24,900.0,8,0.3501945525291829,stream
204,2015-02-12,276,2739.9999999999995,24,840.0,8,0.3065693430656935,stream
205,2015-02-13,276,2400.0000000000005,24,820.0,8,0.3416666666666666,stream
206,2015-02-14,276,2960.0,24,790.0,11,0.2668918918918919,stream
